text,link
Дорсет,https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D1%80%D1%81%D0%B5%D1%82
Израиль,https://ru.wikipedia.org/wiki/%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C
Ингерманландия,https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D0%B3%D0%B5%D1%80%D0%BC%D0%B0%D0%BD%D0%BB%D0%B0%D0%BD%D0%B4%D0%B8%D1%8F
Индонезия,https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D0%B4%D0%BE%D0%BD%D0%B5%D0%B7%D0%B8%D1%8F
Канада,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BD%D0%B0%D0%B4%D0%B0
Северный Калимантан,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D1%8B%D0%B9_%D0%9A%D0%B0%D0%BB%D0%B8%D0%BC%D0%B0%D0%BD%D1%82%D0%B0%D0%BD
Актобе,https://ru.wikipedia.org/wiki/%D0%90%D0%BA%D1%82%D0%BE%D0%B1%D0%B5
Ардатов,https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%B4%D0%B0%D1%82%D0%BE%D0%B2_(%D0%9D%D0%B8%D0%B6%D0%B5%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C)
Барнаул,https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%80%D0%BD%D0%B0%D1%83%D0%BB
Беэр-Шева,https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%8D%D1%80-%D0%A8%D0%B5%D0%B2%D0%B0
Богор,https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%B3%D0%BE%D1%80
Всехсвятское,https://ru.wikipedia.org/wiki/%D0%92%D1%81%D0%B5%D1%85%D1%81%D0%B2%D1%8F%D1%82%D1%81%D0%BA%D0%BE%D0%B5
Выборг,https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D0%B1%D0%BE%D1%80%D0%B3
Йошкар-Ола,https://ru.wikipedia.org/wiki/%D0%99%D0%BE%D1%88%D0%BA%D0%B0%D1%80-%D0%9E%D0%BB%D0%B0
Колпино,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BB%D0%BF%D0%B8%D0%BD%D0%BE
Корсаков,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D1%81%D0%B0%D0%BA%D0%BE%D0%B2_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4)
Мухтолово,https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%85%D1%82%D0%BE%D0%BB%D0%BE%D0%B2%D0%BE
Оттава,https://ru.wikipedia.org/wiki/%D0%9E%D1%82%D1%82%D0%B0%D0%B2%D0%B0
Пеканбару,https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BA%D0%B0%D0%BD%D0%B1%D0%B0%D1%80%D1%83
Подольск,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B4%D0%BE%D0%BB%D1%8C%D1%81%D0%BA
Пушкин,https://ru.wikipedia.org/wiki/%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4)
Санкт-Петербург,https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3
Сукабуми,https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D0%BA%D0%B0%D0%B1%D1%83%D0%BC%D0%B8
Тель-Авив,https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D0%BB%D1%8C-%D0%90%D0%B2%D0%B8%D0%B2
Хайфа,https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D0%B9%D1%84%D0%B0
Хойан,https://ru.wikipedia.org/wiki/%D0%A5%D0%BE%D0%B9%D0%B0%D0%BD
Хьюстон,https://ru.wikipedia.org/wiki/%D0%A5%D1%8C%D1%8E%D1%81%D1%82%D0%BE%D0%BD
Яффа,https://ru.wikipedia.org/wiki/%D0%AF%D1%84%D1%84%D0%B0
Ист-Виллидж,https://ru.wikipedia.org/wiki/%D0%98%D1%81%D1%82-%D0%92%D0%B8%D0%BB%D0%BB%D0%B8%D0%B4%D0%B6
Камергерский переулок,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D0%B5%D1%80%D0%B3%D0%B5%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B5%D1%80%D0%B5%D1%83%D0%BB%D0%BE%D0%BA
Кузнецкий Мост,https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%B7%D0%BD%D0%B5%D1%86%D0%BA%D0%B8%D0%B9_%D0%9C%D0%BE%D1%81%D1%82_(%D1%83%D0%BB%D0%B8%D1%86%D0%B0)
Малая Дмитровка,https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D0%B0%D1%8F_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE%D0%B2%D0%BA%D0%B0
Неве-Цедек,https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%B2%D0%B5-%D0%A6%D0%B5%D0%B4%D0%B5%D0%BA
Площадь Островского (Санкт-Петербург),https://ru.wikipedia.org/wiki/%D0%9F%D0%BB%D0%BE%D1%89%D0%B0%D0%B4%D1%8C_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_(%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3)
Площадь Павших Борцов,https://ru.wikipedia.org/wiki/%D0%9F%D0%BB%D0%BE%D1%89%D0%B0%D0%B4%D1%8C_%D0%9F%D0%B0%D0%B2%D1%88%D0%B8%D1%85_%D0%91%D0%BE%D1%80%D1%86%D0%BE%D0%B2
Поварская улица,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B2%D0%B0%D1%80%D1%81%D0%BA%D0%B0%D1%8F_%D1%83%D0%BB%D0%B8%D1%86%D0%B0
Проспект Карла Маркса (Петрозаводск),https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%81%D0%BF%D0%B5%D0%BA%D1%82_%D0%9A%D0%B0%D1%80%D0%BB%D0%B0_%D0%9C%D0%B0%D1%80%D0%BA%D1%81%D0%B0_(%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA)
Рождественская улица (Нижний Новгород),https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B6%D0%B4%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D1%83%D0%BB%D0%B8%D1%86%D0%B0_(%D0%9D%D0%B8%D0%B6%D0%BD%D0%B8%D0%B9_%D0%9D%D0%BE%D0%B2%D0%B3%D0%BE%D1%80%D0%BE%D0%B4)
Садовая улица (Санкт-Петербург),https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%B4%D0%BE%D0%B2%D0%B0%D1%8F_%D1%83%D0%BB%D0%B8%D1%86%D0%B0_(%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3)
Улица Добролюбова (Екатеринбург),https://ru.wikipedia.org/wiki/%D0%A3%D0%BB%D0%B8%D1%86%D0%B0_%D0%94%D0%BE%D0%B1%D1%80%D0%BE%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D0%B0_(%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3)
Ист-Виллидж,https://ru.wikipedia.org/wiki/%D0%98%D1%81%D1%82-%D0%92%D0%B8%D0%BB%D0%BB%D0%B8%D0%B4%D0%B6
Камергерский переулок,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D0%B5%D1%80%D0%B3%D0%B5%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%B5%D1%80%D0%B5%D1%83%D0%BB%D0%BE%D0%BA
Кузнецкий Мост,https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%B7%D0%BD%D0%B5%D1%86%D0%BA%D0%B8%D0%B9_%D0%9C%D0%BE%D1%81%D1%82_(%D1%83%D0%BB%D0%B8%D1%86%D0%B0)
Малая Дмитровка,https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D0%B0%D1%8F_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE%D0%B2%D0%BA%D0%B0
Неве-Цедек,https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%B2%D0%B5-%D0%A6%D0%B5%D0%B4%D0%B5%D0%BA
Площадь Островского (Санкт-Петербург),https://ru.wikipedia.org/wiki/%D0%9F%D0%BB%D0%BE%D1%89%D0%B0%D0%B4%D1%8C_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_(%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3)
Площадь Павших Борцов,https://ru.wikipedia.org/wiki/%D0%9F%D0%BB%D0%BE%D1%89%D0%B0%D0%B4%D1%8C_%D0%9F%D0%B0%D0%B2%D1%88%D0%B8%D1%85_%D0%91%D0%BE%D1%80%D1%86%D0%BE%D0%B2
Поварская улица,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B2%D0%B0%D1%80%D1%81%D0%BA%D0%B0%D1%8F_%D1%83%D0%BB%D0%B8%D1%86%D0%B0
Проспект Карла Маркса (Петрозаводск),https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%81%D0%BF%D0%B5%D0%BA%D1%82_%D0%9A%D0%B0%D1%80%D0%BB%D0%B0_%D0%9C%D0%B0%D1%80%D0%BA%D1%81%D0%B0_(%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA)
Рождественская улица (Нижний Новгород),https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B6%D0%B4%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D1%83%D0%BB%D0%B8%D1%86%D0%B0_(%D0%9D%D0%B8%D0%B6%D0%BD%D0%B8%D0%B9_%D0%9D%D0%BE%D0%B2%D0%B3%D0%BE%D1%80%D0%BE%D0%B4)
Садовая улица (Санкт-Петербург),https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%B4%D0%BE%D0%B2%D0%B0%D1%8F_%D1%83%D0%BB%D0%B8%D1%86%D0%B0_(%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3)
Улица Добролюбова (Екатеринбург),https://ru.wikipedia.org/wiki/%D0%A3%D0%BB%D0%B8%D1%86%D0%B0_%D0%94%D0%BE%D0%B1%D1%80%D0%BE%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D0%B0_(%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3)
Бавеан,https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%B2%D0%B5%D0%B0%D0%BD
Буру,https://ru.wikipedia.org/wiki/%D0%91%D1%83%D1%80%D1%83
Мадура,https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B4%D1%83%D1%80%D0%B0
Марайа,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%D0%B0%D0%B9%D0%B0_(%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B2,_%D0%A2%D0%B0%D1%81%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F)"
Рун,https://ru.wikipedia.org/wiki/%D0%A0%D1%83%D0%BD
Великие озёра,https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%B8%D0%B5_%D0%BE%D0%B7%D1%91%D1%80%D0%B0
Деруэнт,"https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D1%80%D1%83%D1%8D%D0%BD%D1%82_(%D1%80%D0%B5%D0%BA%D0%B0,_%D0%A2%D0%B0%D1%81%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F)"
Карибское море,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B8%D0%B1%D1%81%D0%BA%D0%BE%D0%B5_%D0%BC%D0%BE%D1%80%D0%B5
Ладожское озеро,https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%B4%D0%BE%D0%B6%D1%81%D0%BA%D0%BE%D0%B5_%D0%BE%D0%B7%D0%B5%D1%80%D0%BE
Маккензи,https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D0%BA%D0%B5%D0%BD%D0%B7%D0%B8_(%D1%80%D0%B5%D0%BA%D0%B0)
Ниагарский водопад,https://ru.wikipedia.org/wiki/%D0%9D%D0%B8%D0%B0%D0%B3%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%B2%D0%BE%D0%B4%D0%BE%D0%BF%D0%B0%D0%B4
Северный Ледовитый океан,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D1%8B%D0%B9_%D0%9B%D0%B5%D0%B4%D0%BE%D0%B2%D0%B8%D1%82%D1%8B%D0%B9_%D0%BE%D0%BA%D0%B5%D0%B0%D0%BD
Веллингтон,"https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BB%D0%BB%D0%B8%D0%BD%D0%B3%D1%82%D0%BE%D0%BD_(%D0%B3%D0%BE%D1%80%D0%B0,_%D0%A2%D0%B0%D1%81%D0%BC%D0%B0%D0%BD%D0%B8%D1%8F)"
Маттерхорн,https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%82%D1%82%D0%B5%D1%80%D1%85%D0%BE%D1%80%D0%BD
Немрут,https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%BC%D1%80%D1%83%D1%82_(%D0%B2%D1%83%D0%BB%D0%BA%D0%B0%D0%BD)
Тамбора,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC%D0%B1%D0%BE%D1%80%D0%B0
Александровский сад (Санкт-Петербург),https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D0%B0%D0%B4_(%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3)
Английский сад (Мюнхен),https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B3%D0%BB%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D0%B0%D0%B4_(%D0%9C%D1%8E%D0%BD%D1%85%D0%B5%D0%BD)
